k,algorithm,edge_group,split,dynamic_stage,value
1,BFS2Vec,doi_name,0.8,1st,0.0
1,BFS2Vec,doi_name,0.8,2nd,0.0
1,BFS2Vec,doi_name,0.8,3rd,0.018518518518518517
1,BFS2Vec,doi_name,0.8,4th,0.0
1,BFS2Vec,doi_name,0.8,1st,0.0
1,BFS2Vec,doi_name,0.8,2nd,0.01020408163265306
1,BFS2Vec,doi_name,0.8,3rd,0.00847457627118644
1,BFS2Vec,doi_name,0.8,4th,0.023809523809523808
1,BFS2Vec,doi_name,0.8,1st,0.0
1,BFS2Vec,doi_name,0.8,2nd,0.009259259259259259
1,BFS2Vec,doi_name,0.8,3rd,0.008771929824561403
1,BFS2Vec,doi_name,0.8,4th,0.024390243902439025
1,BFS2Vec,doi_name,0.8,1st,0.0
1,BFS2Vec,doi_name,0.8,2nd,0.004830917874396135
1,BFS2Vec,doi_name,0.8,3rd,0.008333333333333333
1,BFS2Vec,doi_name,0.8,4th,0.020833333333333332
1,BFS2Vec,doi_name,0.8,1st,0.0
1,BFS2Vec,doi_name,0.8,2nd,0.0051813471502590676
1,BFS2Vec,doi_name,0.8,3rd,0.00980392156862745
1,BFS2Vec,doi_name,0.8,4th,0.027777777777777776
1,BFS2Vec,doi_name,0.8,1st,0.0
1,BFS2Vec,doi_name,0.8,2nd,0.005025125628140704
1,BFS2Vec,doi_name,0.8,3rd,0.009345794392523364
1,BFS2Vec,doi_name,0.8,4th,0.024390243902439025
1,BFS2Vec,doi_name,0.8,1st,0.0
1,BFS2Vec,doi_name,0.8,2nd,0.010582010582010581
1,BFS2Vec,doi_name,0.8,3rd,0.00909090909090909
1,BFS2Vec,doi_name,0.8,4th,0.024390243902439025
1,BFS2Vec,doi_name,0.8,1st,0.0
1,BFS2Vec,doi_name,0.8,2nd,0.0048543689320388345
1,BFS2Vec,doi_name,0.8,3rd,0.0
1,BFS2Vec,doi_name,0.8,4th,0.0
1,BFS2Vec,doi_name,0.8,1st,0.0028089887640449437
1,BFS2Vec,doi_name,0.8,2nd,0.004784688995215311
1,BFS2Vec,doi_name,0.8,3rd,0.0
1,BFS2Vec,doi_name,0.8,4th,0.0
1,BFS2Vec,doi_name,0.8,1st,0.0
1,BFS2Vec,doi_name,0.8,2nd,0.0048543689320388345
1,BFS2Vec,doi_name,0.8,3rd,0.0
1,BFS2Vec,doi_name,0.8,4th,0.0
5,BFS2Vec,doi_name,0.8,1st,0.0028089887640449437
5,BFS2Vec,doi_name,0.8,2nd,0.015706806282722512
5,BFS2Vec,doi_name,0.8,3rd,0.018518518518518517
5,BFS2Vec,doi_name,0.8,4th,0.046511627906976744
5,BFS2Vec,doi_name,0.8,1st,0.0
5,BFS2Vec,doi_name,0.8,2nd,0.030612244897959183
5,BFS2Vec,doi_name,0.8,3rd,0.03389830508474576
5,BFS2Vec,doi_name,0.8,4th,0.07142857142857142
5,BFS2Vec,doi_name,0.8,1st,0.0028089887640449437
5,BFS2Vec,doi_name,0.8,2nd,0.018518518518518517
5,BFS2Vec,doi_name,0.8,3rd,0.05263157894736842
5,BFS2Vec,doi_name,0.8,4th,0.04878048780487805
5,BFS2Vec,doi_name,0.8,1st,0.0
5,BFS2Vec,doi_name,0.8,2nd,0.01932367149758454
5,BFS2Vec,doi_name,0.8,3rd,0.03333333333333333
5,BFS2Vec,doi_name,0.8,4th,0.041666666666666664
5,BFS2Vec,doi_name,0.8,1st,0.0
5,BFS2Vec,doi_name,0.8,2nd,0.015544041450777202
5,BFS2Vec,doi_name,0.8,3rd,0.029411764705882353
5,BFS2Vec,doi_name,0.8,4th,0.08333333333333333
5,BFS2Vec,doi_name,0.8,1st,0.0056179775280898875
5,BFS2Vec,doi_name,0.8,2nd,0.020100502512562814
5,BFS2Vec,doi_name,0.8,3rd,0.028037383177570093
5,BFS2Vec,doi_name,0.8,4th,0.12195121951219512
5,BFS2Vec,doi_name,0.8,1st,0.008426966292134831
5,BFS2Vec,doi_name,0.8,2nd,0.026455026455026454
5,BFS2Vec,doi_name,0.8,3rd,0.02727272727272727
5,BFS2Vec,doi_name,0.8,4th,0.0975609756097561
5,BFS2Vec,doi_name,0.8,1st,0.0
5,BFS2Vec,doi_name,0.8,2nd,0.014563106796116505
5,BFS2Vec,doi_name,0.8,3rd,0.04716981132075472
5,BFS2Vec,doi_name,0.8,4th,0.08695652173913043
5,BFS2Vec,doi_name,0.8,1st,0.0028089887640449437
5,BFS2Vec,doi_name,0.8,2nd,0.014354066985645933
5,BFS2Vec,doi_name,0.8,3rd,0.0392156862745098
5,BFS2Vec,doi_name,0.8,4th,0.044444444444444446
5,BFS2Vec,doi_name,0.8,1st,0.0056179775280898875
5,BFS2Vec,doi_name,0.8,2nd,0.009708737864077669
5,BFS2Vec,doi_name,0.8,3rd,0.018018018018018018
5,BFS2Vec,doi_name,0.8,4th,0.1111111111111111
10,BFS2Vec,doi_name,0.8,1st,0.0056179775280898875
10,BFS2Vec,doi_name,0.8,2nd,0.02617801047120419
10,BFS2Vec,doi_name,0.8,3rd,0.09259259259259259
10,BFS2Vec,doi_name,0.8,4th,0.13953488372093023
10,BFS2Vec,doi_name,0.8,1st,0.0
10,BFS2Vec,doi_name,0.8,2nd,0.05102040816326531
10,BFS2Vec,doi_name,0.8,3rd,0.06779661016949153
10,BFS2Vec,doi_name,0.8,4th,0.16666666666666666
10,BFS2Vec,doi_name,0.8,1st,0.0056179775280898875
10,BFS2Vec,doi_name,0.8,2nd,0.046296296296296294
10,BFS2Vec,doi_name,0.8,3rd,0.07894736842105263
10,BFS2Vec,doi_name,0.8,4th,0.14634146341463414
10,BFS2Vec,doi_name,0.8,1st,0.0056179775280898875
10,BFS2Vec,doi_name,0.8,2nd,0.033816425120772944
10,BFS2Vec,doi_name,0.8,3rd,0.058333333333333334
10,BFS2Vec,doi_name,0.8,4th,0.125
10,BFS2Vec,doi_name,0.8,1st,0.0
10,BFS2Vec,doi_name,0.8,2nd,0.04145077720207254
10,BFS2Vec,doi_name,0.8,3rd,0.08823529411764706
10,BFS2Vec,doi_name,0.8,4th,0.2222222222222222
10,BFS2Vec,doi_name,0.8,1st,0.008426966292134831
10,BFS2Vec,doi_name,0.8,2nd,0.04522613065326633
10,BFS2Vec,doi_name,0.8,3rd,0.056074766355140186
10,BFS2Vec,doi_name,0.8,4th,0.17073170731707318
10,BFS2Vec,doi_name,0.8,1st,0.014044943820224719
10,BFS2Vec,doi_name,0.8,2nd,0.047619047619047616
10,BFS2Vec,doi_name,0.8,3rd,0.03636363636363636
10,BFS2Vec,doi_name,0.8,4th,0.1951219512195122
10,BFS2Vec,doi_name,0.8,1st,0.008426966292134831
10,BFS2Vec,doi_name,0.8,2nd,0.019417475728155338
10,BFS2Vec,doi_name,0.8,3rd,0.09433962264150944
10,BFS2Vec,doi_name,0.8,4th,0.13043478260869565
10,BFS2Vec,doi_name,0.8,1st,0.0028089887640449437
10,BFS2Vec,doi_name,0.8,2nd,0.028708133971291867
10,BFS2Vec,doi_name,0.8,3rd,0.049019607843137254
10,BFS2Vec,doi_name,0.8,4th,0.13333333333333333
10,BFS2Vec,doi_name,0.8,1st,0.008426966292134831
10,BFS2Vec,doi_name,0.8,2nd,0.024271844660194174
10,BFS2Vec,doi_name,0.8,3rd,0.05405405405405406
10,BFS2Vec,doi_name,0.8,4th,0.15555555555555556
15,BFS2Vec,doi_name,0.8,1st,0.014044943820224719
15,BFS2Vec,doi_name,0.8,2nd,0.05235602094240838
15,BFS2Vec,doi_name,0.8,3rd,0.12037037037037036
15,BFS2Vec,doi_name,0.8,4th,0.23255813953488372
15,BFS2Vec,doi_name,0.8,1st,0.008426966292134831
15,BFS2Vec,doi_name,0.8,2nd,0.0663265306122449
15,BFS2Vec,doi_name,0.8,3rd,0.11016949152542373
15,BFS2Vec,doi_name,0.8,4th,0.2857142857142857
15,BFS2Vec,doi_name,0.8,1st,0.008426966292134831
15,BFS2Vec,doi_name,0.8,2nd,0.05092592592592592
15,BFS2Vec,doi_name,0.8,3rd,0.13157894736842105
15,BFS2Vec,doi_name,0.8,4th,0.21951219512195122
15,BFS2Vec,doi_name,0.8,1st,0.016853932584269662
15,BFS2Vec,doi_name,0.8,2nd,0.05314009661835749
15,BFS2Vec,doi_name,0.8,3rd,0.1
15,BFS2Vec,doi_name,0.8,4th,0.20833333333333334
15,BFS2Vec,doi_name,0.8,1st,0.011235955056179775
15,BFS2Vec,doi_name,0.8,2nd,0.05181347150259067
15,BFS2Vec,doi_name,0.8,3rd,0.10784313725490197
15,BFS2Vec,doi_name,0.8,4th,0.3333333333333333
15,BFS2Vec,doi_name,0.8,1st,0.011235955056179775
15,BFS2Vec,doi_name,0.8,2nd,0.07035175879396985
15,BFS2Vec,doi_name,0.8,3rd,0.07476635514018691
15,BFS2Vec,doi_name,0.8,4th,0.1951219512195122
15,BFS2Vec,doi_name,0.8,1st,0.019662921348314606
15,BFS2Vec,doi_name,0.8,2nd,0.07936507936507936
15,BFS2Vec,doi_name,0.8,3rd,0.08181818181818182
15,BFS2Vec,doi_name,0.8,4th,0.2926829268292683
15,BFS2Vec,doi_name,0.8,1st,0.008426966292134831
15,BFS2Vec,doi_name,0.8,2nd,0.02912621359223301
15,BFS2Vec,doi_name,0.8,3rd,0.10377358490566038
15,BFS2Vec,doi_name,0.8,4th,0.21739130434782608
15,BFS2Vec,doi_name,0.8,1st,0.014044943820224719
15,BFS2Vec,doi_name,0.8,2nd,0.06220095693779904
15,BFS2Vec,doi_name,0.8,3rd,0.06862745098039216
15,BFS2Vec,doi_name,0.8,4th,0.15555555555555556
15,BFS2Vec,doi_name,0.8,1st,0.014044943820224719
15,BFS2Vec,doi_name,0.8,2nd,0.038834951456310676
15,BFS2Vec,doi_name,0.8,3rd,0.09009009009009009
15,BFS2Vec,doi_name,0.8,4th,0.28888888888888886
20,BFS2Vec,doi_name,0.8,1st,0.02247191011235955
20,BFS2Vec,doi_name,0.8,2nd,0.08376963350785341
20,BFS2Vec,doi_name,0.8,3rd,0.1574074074074074
20,BFS2Vec,doi_name,0.8,4th,0.37209302325581395
20,BFS2Vec,doi_name,0.8,1st,0.019662921348314606
20,BFS2Vec,doi_name,0.8,2nd,0.08163265306122448
20,BFS2Vec,doi_name,0.8,3rd,0.1440677966101695
20,BFS2Vec,doi_name,0.8,4th,0.38095238095238093
20,BFS2Vec,doi_name,0.8,1st,0.011235955056179775
20,BFS2Vec,doi_name,0.8,2nd,0.07407407407407407
20,BFS2Vec,doi_name,0.8,3rd,0.14912280701754385
20,BFS2Vec,doi_name,0.8,4th,0.2682926829268293
20,BFS2Vec,doi_name,0.8,1st,0.028089887640449437
20,BFS2Vec,doi_name,0.8,2nd,0.057971014492753624
20,BFS2Vec,doi_name,0.8,3rd,0.13333333333333333
20,BFS2Vec,doi_name,0.8,4th,0.22916666666666666
20,BFS2Vec,doi_name,0.8,1st,0.03089887640449438
20,BFS2Vec,doi_name,0.8,2nd,0.08290155440414508
20,BFS2Vec,doi_name,0.8,3rd,0.13725490196078433
20,BFS2Vec,doi_name,0.8,4th,0.4166666666666667
20,BFS2Vec,doi_name,0.8,1st,0.019662921348314606
20,BFS2Vec,doi_name,0.8,2nd,0.09045226130653267
20,BFS2Vec,doi_name,0.8,3rd,0.12149532710280374
20,BFS2Vec,doi_name,0.8,4th,0.34146341463414637
20,BFS2Vec,doi_name,0.8,1st,0.028089887640449437
20,BFS2Vec,doi_name,0.8,2nd,0.09523809523809523
20,BFS2Vec,doi_name,0.8,3rd,0.10909090909090909
20,BFS2Vec,doi_name,0.8,4th,0.4634146341463415
20,BFS2Vec,doi_name,0.8,1st,0.019662921348314606
20,BFS2Vec,doi_name,0.8,2nd,0.05825242718446602
20,BFS2Vec,doi_name,0.8,3rd,0.1320754716981132
20,BFS2Vec,doi_name,0.8,4th,0.30434782608695654
20,BFS2Vec,doi_name,0.8,1st,0.014044943820224719
20,BFS2Vec,doi_name,0.8,2nd,0.06220095693779904
20,BFS2Vec,doi_name,0.8,3rd,0.10784313725490197
20,BFS2Vec,doi_name,0.8,4th,0.2
20,BFS2Vec,doi_name,0.8,1st,0.02247191011235955
20,BFS2Vec,doi_name,0.8,2nd,0.06796116504854369
20,BFS2Vec,doi_name,0.8,3rd,0.11711711711711711
20,BFS2Vec,doi_name,0.8,4th,0.3111111111111111
25,BFS2Vec,doi_name,0.8,1st,0.028089887640449437
25,BFS2Vec,doi_name,0.8,2nd,0.1099476439790576
25,BFS2Vec,doi_name,0.8,3rd,0.2037037037037037
25,BFS2Vec,doi_name,0.8,4th,0.4883720930232558
25,BFS2Vec,doi_name,0.8,1st,0.03651685393258427
25,BFS2Vec,doi_name,0.8,2nd,0.10714285714285714
25,BFS2Vec,doi_name,0.8,3rd,0.17796610169491525
25,BFS2Vec,doi_name,0.8,4th,0.47619047619047616
25,BFS2Vec,doi_name,0.8,1st,0.016853932584269662
