algorithm,edge_group,split,dynamic_stage,value
BFS2Vec,doi_name,0.8,1st,0.008889885899291674
BFS2Vec,doi_name,0.8,2nd,0.023643649635123512
BFS2Vec,doi_name,0.8,3rd,0.04715940806740311
BFS2Vec,doi_name,0.8,4th,0.062272937864227045
BFS2Vec,doi_name,0.8,1st,0.008349520345563464
BFS2Vec,doi_name,0.8,2nd,0.031331420383732614
BFS2Vec,doi_name,0.8,3rd,0.0413405381415051
BFS2Vec,doi_name,0.8,4th,0.08831262882763223
BFS2Vec,doi_name,0.8,1st,0.008842770364978388
BFS2Vec,doi_name,0.8,2nd,0.026941858079995936
BFS2Vec,doi_name,0.8,3rd,0.044850431923404696
BFS2Vec,doi_name,0.8,4th,0.07648842437697945
BFS2Vec,doi_name,0.8,1st,0.009391275809099374
BFS2Vec,doi_name,0.8,2nd,0.02216883407150622
BFS2Vec,doi_name,0.8,3rd,0.0370579796880185
BFS2Vec,doi_name,0.8,4th,0.06148574248591221
BFS2Vec,doi_name,0.8,1st,0.008708660975358098
BFS2Vec,doi_name,0.8,2nd,0.023382717606345096
BFS2Vec,doi_name,0.8,3rd,0.03995697789380003
BFS2Vec,doi_name,0.8,4th,0.10167649411187947
BFS2Vec,doi_name,0.8,1st,0.00928789544432825
BFS2Vec,doi_name,0.8,2nd,0.024921334604949084
BFS2Vec,doi_name,0.8,3rd,0.03774403106195653
BFS2Vec,doi_name,0.8,4th,0.08192966247477652
BFS2Vec,doi_name,0.8,1st,0.012471872770159334
BFS2Vec,doi_name,0.8,2nd,0.033621216841772626
BFS2Vec,doi_name,0.8,3rd,0.03958242721074159
BFS2Vec,doi_name,0.8,4th,0.10073303097243061
BFS2Vec,doi_name,0.8,1st,0.00886497921717534
BFS2Vec,doi_name,0.8,2nd,0.020570554003594862
BFS2Vec,doi_name,0.8,3rd,0.035144174938882555
BFS2Vec,doi_name,0.8,4th,0.06491738619169558
BFS2Vec,doi_name,0.8,1st,0.011442975011877084
BFS2Vec,doi_name,0.8,2nd,0.022036912562702442
BFS2Vec,doi_name,0.8,3rd,0.03491485531782675
BFS2Vec,doi_name,0.8,4th,0.04981308185182499
BFS2Vec,doi_name,0.8,1st,0.010395963975697458
BFS2Vec,doi_name,0.8,2nd,0.02096806967361019
BFS2Vec,doi_name,0.8,3rd,0.027115856482913474
BFS2Vec,doi_name,0.8,4th,0.06383634897975396
BFS2Vec,doi_bioActivity,0.8,1st,0.29718997318150125
BFS2Vec,doi_bioActivity,0.8,2nd,0.11295657864524794
BFS2Vec,doi_bioActivity,0.8,3rd,0.10452857940078553
BFS2Vec,doi_bioActivity,0.8,4th,0.13034348774573604
BFS2Vec,doi_bioActivity,0.8,1st,0.20055397340725292
BFS2Vec,doi_bioActivity,0.8,2nd,0.1027624665025745
