true,restored,edge_type
"['10.1016/j.phytochem.2009.08.013', 'Antifungal']","['10.1016/j.phytochem.2009.08.013', ['Genotoxic', 'Mutagenic', 'Insecticidal', 'Inhibition of Acetylcholinesterase', 'Inhibition of ATP synthesis', 'Antiangiogenic', 'Antibacterial', 'Inhibition of uncoupled electron transport', 'Antileishmanial', 'Molluscicidal', 'Inhibition of basal electron transport', 'Inhibition of phosphorylating electron transport', 'Inhibition of Myeloperoxodase', 'Anticancer', 'Inhibition of Cathepsin V', 'Cytotoxic', 'Antitrypanosomal', 'Antioxidant', 'Antiallergenic', 'Inhibition of Glycosidase', 'Antifungal', 'Inhibition of Protease', 'Anesthetic', 'Antinociceptive', 'Antiviral', 'Anxiolytic', 'Antichagasic', 'Insect antennae response', 'Antimalarial', 'Anti-inflamatory', 'Cell growth inhbition', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B']]",doi_bioActivity
"['10.1590/S0102-695X2008000200010', 'Antibacterial']","['10.1590/S0102-695X2008000200010', ['Genotoxic', 'Mutagenic', 'Inhibition of ATP synthesis', 'Inhibition of uncoupled electron transport', 'Molluscicidal', 'Insecticidal', 'Anticancer', 'Inhibition of basal electron transport', 'Inhibition of phosphorylating electron transport', 'Inhibition of Myeloperoxodase', 'Antitrypanosomal', 'Antibacterial', 'Inhibition of Cathepsin V', 'Antiangiogenic', 'Inhibition of Acetylcholinesterase', 'Antiallergenic', 'Antileishmanial', 'Cytotoxic', 'Antioxidant', 'Inhibition of Glycosidase', 'Antifungal', 'Anesthetic', 'Inhibition of Protease', 'Antinociceptive', 'Antiviral', 'Anxiolytic', 'Antichagasic', 'Insect antennae response', 'Antimalarial', 'Anti-inflamatory', 'Cell growth inhbition', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B']]",doi_bioActivity
"['10.1055/s-0029-1185364', 'Antitrypanosomal']","['10.1055/s-0029-1185364', ['Genotoxic', 'Antibacterial', 'Inhibition of Acetylcholinesterase', 'Antiangiogenic', 'Molluscicidal', 'Mutagenic', 'Inhibition of ATP synthesis', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Inhibition of Cathepsin V', 'Antileishmanial', 'Anticancer', 'Inhibition of phosphorylating electron transport', 'Cytotoxic', 'Inhibition of Myeloperoxodase', 'Inhibition of Glycosidase', 'Antitrypanosomal', 'Antiallergenic', 'Antifungal', 'Insecticidal', 'Antioxidant', 'Inhibition of Protease', 'Anesthetic', 'Antinociceptive', 'Antiviral', 'Anxiolytic', 'Antichagasic', 'Insect antennae response', 'Antimalarial', 'Anti-inflamatory', 'Cell growth inhbition', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B']]",doi_bioActivity
"['10.1016/0031-9422(73)85048-4', 'Antitrypanosomal']","['10.1016/0031-9422(73)85048-4', ['Molluscicidal', 'Inhibition of Myeloperoxodase', 'Inhibition of uncoupled electron transport', 'Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport', 'Inhibition of basal electron transport', 'Insecticidal', 'Genotoxic', 'Mutagenic', 'Inhibition of Glycosidase', 'Antileishmanial', 'Antioxidant', 'Antiallergenic', 'Antiangiogenic', 'Antibacterial', 'Inhibition of Cathepsin V', 'Cytotoxic', 'Inhibition of Acetylcholinesterase', 'Antifungal', 'Antitrypanosomal', 'Anticancer', 'Anesthetic', 'Inhibition of Protease', 'Antinociceptive', 'Antiviral', 'Anxiolytic', 'Antichagasic', 'Insect antennae response', 'Antimalarial', 'Anti-inflamatory', 'Cell growth inhbition', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B']]",doi_bioActivity
"['10.1590/S0102-695X2009000100002', 'Antitrypanosomal']","['10.1590/S0102-695X2009000100002', ['Molluscicidal', 'Genotoxic', 'Inhibition of ATP synthesis', 'Inhibition of Cathepsin V', 'Inhibition of uncoupled electron transport', 'Mutagenic', 'Inhibition of basal electron transport', 'Antibacterial', 'Inhibition of Acetylcholinesterase', 'Inhibition of phosphorylating electron transport', 'Inhibition of Myeloperoxodase', 'Antiangiogenic', 'Insecticidal', 'Anticancer', 'Antitrypanosomal', 'Inhibition of Glycosidase', 'Antileishmanial', 'Cytotoxic', 'Antioxidant', 'Antiallergenic', 'Antifungal', 'Inhibition of Protease', 'Anesthetic', 'Antinociceptive', 'Antiviral', 'Anxiolytic', 'Antichagasic', 'Insect antennae response', 'Antimalarial', 'Anti-inflamatory', 'Cell growth inhbition', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B']]",doi_bioActivity
"['10.1016/j.jpba.2012.08.028', 'Antitrypanosomal']","['10.1016/j.jpba.2012.08.028', ['Genotoxic', 'Inhibition of Acetylcholinesterase', 'Mutagenic', 'Antileishmanial', 'Insecticidal', 'Antibacterial', 'Inhibition of uncoupled electron transport', 'Inhibition of ATP synthesis', 'Molluscicidal', 'Inhibition of basal electron transport', 'Inhibition of Myeloperoxodase', 'Inhibition of Cathepsin V', 'Antitrypanosomal', 'Antiangiogenic', 'Anticancer', 'Inhibition of phosphorylating electron transport', 'Antioxidant', 'Inhibition of Glycosidase', 'Cytotoxic', 'Antiallergenic', 'Antifungal', 'Inhibition of Protease', 'Anesthetic', 'Antinociceptive', 'Antiviral', 'Anxiolytic', 'Antichagasic', 'Insect antennae response', 'Antimalarial', 'Anti-inflamatory', 'Cell growth inhbition', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B']]",doi_bioActivity
"['10.1021/np500453x', 'Inhibition of Cathepsin B']","['10.1021/np500453x', ['Genotoxic', 'Mutagenic', 'Molluscicidal', 'Inhibition of Acetylcholinesterase', 'Inhibition of Cathepsin V', 'Antileishmanial', 'Inhibition of ATP synthesis', 'Anticancer', 'Antiangiogenic', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Cytotoxic', 'Inhibition of phosphorylating electron transport', 'Antibacterial', 'Antitrypanosomal', 'Insecticidal', 'Inhibition of Myeloperoxodase', 'Inhibition of Glycosidase', 'Antiallergenic', 'Antifungal', 'Antioxidant', 'Inhibition of Protease', 'Anesthetic', 'Antinociceptive', 'Antiviral', 'Anxiolytic', 'Antichagasic', 'Insect antennae response', 'Antimalarial', 'Anti-inflamatory', 'Cell growth inhbition', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B']]",doi_bioActivity
"['10.1590/s0100-40422008000700015', 'Cytotoxic']","['10.1590/s0100-40422008000700015', ['Genotoxic', 'Mutagenic', 'Inhibition of ATP synthesis', 'Antibacterial', 'Molluscicidal', 'Inhibition of Acetylcholinesterase', 'Antiangiogenic', 'Inhibition of uncoupled electron transport', 'Anticancer', 'Inhibition of basal electron transport', 'Insecticidal', 'Inhibition of phosphorylating electron transport', 'Antileishmanial', 'Antifungal', 'Cytotoxic', 'Antitrypanosomal', 'Inhibition of Myeloperoxodase', 'Antiallergenic', 'Inhibition of Cathepsin V', 'Inhibition of Glycosidase', 'Antioxidant', 'Inhibition of Protease', 'Anesthetic', 'Antinociceptive', 'Antiviral', 'Anxiolytic', 'Antichagasic', 'Insect antennae response', 'Antimalarial', 'Anti-inflamatory', 'Cell growth inhbition', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B']]",doi_bioActivity
"['10.1021/jf100233y', 'Antioxidant']","['10.1021/jf100233y', ['Genotoxic', 'Mutagenic', 'Inhibition of Acetylcholinesterase', 'Inhibition of Myeloperoxodase', 'Molluscicidal', 'Inhibition of Cathepsin V', 'Antiangiogenic', 'Anticancer', 'Antibacterial', 'Antileishmanial', 'Inhibition of ATP synthesis', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Cytotoxic', 'Insecticidal', 'Inhibition of Glycosidase', 'Antioxidant', 'Antitrypanosomal', 'Inhibition of phosphorylating electron transport', 'Antifungal', 'Antiallergenic', 'Inhibition of Protease', 'Anesthetic', 'Antinociceptive', 'Antiviral', 'Anxiolytic', 'Antichagasic', 'Insect antennae response', 'Antimalarial', 'Anti-inflamatory', 'Cell growth inhbition', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B']]",doi_bioActivity
"['10.1021/np100840w', 'Cytotoxic']","['10.1021/np100840w', ['Genotoxic', 'Mutagenic', 'Cytotoxic', 'Molluscicidal', 'Antiangiogenic', 'Antileishmanial', 'Antibacterial', 'Inhibition of ATP synthesis', 'Antifungal', 'Inhibition of Myeloperoxodase', 'Inhibition of uncoupled electron transport', 'Inhibition of Acetylcholinesterase', 'Inhibition of Glycosidase', 'Inhibition of basal electron transport', 'Inhibition of phosphorylating electron transport', 'Insecticidal', 'Inhibition of Cathepsin V', 'Antiallergenic', 'Anticancer', 'Antioxidant', 'Antitrypanosomal', 'Inhibition of Protease', 'Anesthetic', 'Antinociceptive', 'Antiviral', 'Anxiolytic', 'Antichagasic', 'Insect antennae response', 'Antimalarial', 'Anti-inflamatory', 'Cell growth inhbition', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B']]",doi_bioActivity
