true,restored,edge_type
"['10.1055/s-2002-36346', 'Antibacterial']","['10.1055/s-2002-36346', ['Antinociceptive', 'Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport', 'Inhibition of basal electron transport', 'Inhibition of uncoupled electron transport', 'Cell growth inhbition', 'Antibacterial', 'Antiallergenic', 'Anti-inflamatory', 'Genotoxic', 'Molluscicidal', 'Antiviral', 'Mutagenic', 'Antioxidant', 'Anticancer', 'Inhibition of Protease', 'Anesthetic', 'Cytotoxic', 'Inhibition of Acetylcholinesterase', 'Antifungal', 'Insect antennae response', 'Antimalarial', 'Antichagasic', 'Antileishmanial', 'Inhibition of Cathepsin L', 'Antiangiogenic', 'Anxiolytic', 'Inhibition of Glycosidase', 'Insecticidal', 'Inhibition of Myeloperoxodase', 'Inhibition of Cathepsin B', 'Antitrypanosomal', 'Inhibition of Cathepsin V']]",doi_bioActivity
"['10.4067/S0717-97072009000300004', 'Inhibition of Glycosidase']","['10.4067/S0717-97072009000300004', ['Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis', 'Antinociceptive', 'Inhibition of basal electron transport', 'Inhibition of uncoupled electron transport', 'Cell growth inhbition', 'Antiallergenic', 'Insect antennae response', 'Inhibition of Protease', 'Antiviral', 'Inhibition of Acetylcholinesterase', 'Anesthetic', 'Genotoxic', 'Molluscicidal', 'Mutagenic', 'Antibacterial', 'Antimalarial', 'Inhibition of Cathepsin V', 'Insecticidal', 'Anticancer', 'Inhibition of Cathepsin L', 'Cytotoxic', 'Anti-inflamatory', 'Antiangiogenic', 'Antileishmanial', 'Antichagasic', 'Inhibition of Cathepsin B', 'Inhibition of Myeloperoxodase', 'Inhibition of Glycosidase', 'Antifungal', 'Antioxidant', 'Anxiolytic', 'Antitrypanosomal']]",doi_bioActivity
"['10.1016/j.phytochem.2005.06.019', 'Antioxidant']","['10.1016/j.phytochem.2005.06.019', ['Antinociceptive', 'Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport', 'Inhibition of basal electron transport', 'Inhibition of uncoupled electron transport', 'Cell growth inhbition', 'Antiallergenic', 'Anesthetic', 'Insect antennae response', 'Molluscicidal', 'Inhibition of Protease', 'Antiviral', 'Inhibition of Myeloperoxodase', 'Inhibition of Acetylcholinesterase', 'Genotoxic', 'Inhibition of Cathepsin V', 'Anti-inflamatory', 'Antiangiogenic', 'Antibacterial', 'Antioxidant', 'Antimalarial', 'Mutagenic', 'Inhibition of Glycosidase', 'Inhibition of Cathepsin L', 'Anxiolytic', 'Anticancer', 'Antifungal', 'Inhibition of Cathepsin B', 'Cytotoxic', 'Antichagasic', 'Antitrypanosomal', 'Insecticidal', 'Antileishmanial']]",doi_bioActivity
"['10.1016/S0031-9422(97)00598-0', 'Antitrypanosomal']","['10.1016/S0031-9422(97)00598-0', ['Antinociceptive', 'Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport', 'Inhibition of basal electron transport', 'Inhibition of uncoupled electron transport', 'Cell growth inhbition', 'Antiallergenic', 'Anesthetic', 'Antiviral', 'Molluscicidal', 'Inhibition of Protease', 'Anti-inflamatory', 'Inhibition of Myeloperoxodase', 'Inhibition of Cathepsin V', 'Insect antennae response', 'Inhibition of Acetylcholinesterase', 'Anxiolytic', 'Antioxidant', 'Cytotoxic', 'Antiangiogenic', 'Inhibition of Glycosidase', 'Insecticidal', 'Antimalarial', 'Inhibition of Cathepsin L', 'Anticancer', 'Genotoxic', 'Mutagenic', 'Antileishmanial', 'Antifungal', 'Inhibition of Cathepsin B', 'Antibacterial', 'Antichagasic', 'Antitrypanosomal']]",doi_bioActivity
"['10.1016/j.jphotobiol.2013.01.006', 'Inhibition of phosphorylating electron transport']","['10.1016/j.jphotobiol.2013.01.006', ['Antinociceptive', 'Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport', 'Inhibition of basal electron transport', 'Inhibition of uncoupled electron transport', 'Cell growth inhbition', 'Anesthetic', 'Molluscicidal', 'Antiallergenic', 'Inhibition of Cathepsin V', 'Antimalarial', 'Inhibition of Cathepsin L', 'Antiangiogenic', 'Genotoxic', 'Insect antennae response', 'Mutagenic', 'Inhibition of Acetylcholinesterase', 'Inhibition of Myeloperoxodase', 'Inhibition of Protease', 'Antiviral', 'Antichagasic', 'Inhibition of Cathepsin B', 'Inhibition of Glycosidase', 'Cytotoxic', 'Anticancer', 'Anxiolytic', 'Antibacterial', 'Anti-inflamatory', 'Antifungal', 'Antioxidant', 'Insecticidal', 'Antitrypanosomal', 'Antileishmanial']]",doi_bioActivity
"['10.1021/np049863m', 'Antioxidant']","['10.1021/np049863m', ['Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis', 'Antinociceptive', 'Inhibition of basal electron transport', 'Inhibition of uncoupled electron transport', 'Cell growth inhbition', 'Antiallergenic', 'Inhibition of Protease', 'Antiviral', 'Molluscicidal', 'Inhibition of Acetylcholinesterase', 'Anesthetic', 'Antimalarial', 'Inhibition of Cathepsin V', 'Inhibition of Cathepsin L', 'Genotoxic', 'Mutagenic', 'Insect antennae response', 'Antichagasic', 'Anticancer', 'Inhibition of Cathepsin B', 'Cytotoxic', 'Anti-inflamatory', 'Antiangiogenic', 'Antibacterial', 'Antioxidant', 'Inhibition of Myeloperoxodase', 'Inhibition of Glycosidase', 'Antileishmanial', 'Insecticidal', 'Antifungal', 'Anxiolytic', 'Antitrypanosomal']]",doi_bioActivity
"['10.1021/np030530j', 'Antifungal']","['10.1021/np030530j', ['Antinociceptive', 'Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport', 'Inhibition of basal electron transport', 'Inhibition of uncoupled electron transport', 'Cell growth inhbition', 'Antiallergenic', 'Insect antennae response', 'Anesthetic', 'Antiangiogenic', 'Anti-inflamatory', 'Molluscicidal', 'Inhibition of Acetylcholinesterase', 'Antibacterial', 'Inhibition of Myeloperoxodase', 'Genotoxic', 'Insecticidal', 'Mutagenic', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin V', 'Antimalarial', 'Cytotoxic', 'Inhibition of Glycosidase', 'Antitrypanosomal', 'Antifungal', 'Anxiolytic', 'Inhibition of Cathepsin B', 'Inhibition of Protease', 'Antichagasic', 'Antiviral', 'Anticancer', 'Antileishmanial', 'Antioxidant']]",doi_bioActivity
"['10.1080/14786410802243271', 'Antitrypanosomal']","['10.1080/14786410802243271', ['Inhibition of ATP synthesis', 'Antinociceptive', 'Inhibition of phosphorylating electron transport', 'Inhibition of basal electron transport', 'Inhibition of uncoupled electron transport', 'Cell growth inhbition', 'Antiallergenic', 'Molluscicidal', 'Antibacterial', 'Inhibition of Acetylcholinesterase', 'Anti-inflamatory', 'Genotoxic', 'Antiviral', 'Anesthetic', 'Mutagenic', 'Insect antennae response', 'Antimalarial', 'Inhibition of Cathepsin V', 'Anticancer', 'Inhibition of Cathepsin L', 'Inhibition of Protease', 'Cytotoxic', 'Antichagasic', 'Antiangiogenic', 'Antitrypanosomal', 'Inhibition of Cathepsin B', 'Inhibition of Myeloperoxodase', 'Anxiolytic', 'Antileishmanial', 'Inhibition of Glycosidase', 'Antifungal', 'Insecticidal', 'Antioxidant']]",doi_bioActivity
"['10.1007/s10295-012-1165-2', 'Cytotoxic']","['10.1007/s10295-012-1165-2', ['Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis', 'Inhibition of basal electron transport', 'Antinociceptive', 'Inhibition of uncoupled electron transport', 'Cell growth inhbition', 'Antiallergenic', 'Molluscicidal', 'Inhibition of Cathepsin L', 'Genotoxic', 'Antimalarial', 'Inhibition of Cathepsin V', 'Antichagasic', 'Cytotoxic', 'Mutagenic', 'Inhibition of Cathepsin B', 'Anticancer', 'Inhibition of Protease', 'Inhibition of Acetylcholinesterase', 'Antiviral', 'Antibacterial', 'Anesthetic', 'Antiangiogenic', 'Insect antennae response', 'Antileishmanial', 'Anti-inflamatory', 'Inhibition of Glycosidase', 'Antitrypanosomal', 'Inhibition of Myeloperoxodase', 'Insecticidal', 'Antifungal', 'Antioxidant', 'Anxiolytic']]",doi_bioActivity
"['10.1021/np060254j', 'Anxiolytic']","['10.1021/np060254j', ['Antinociceptive', 'Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport', 'Inhibition of basal electron transport', 'Inhibition of uncoupled electron transport', 'Cell growth inhbition', 'Antiallergenic', 'Genotoxic', 'Anticancer', 'Mutagenic', 'Insect antennae response', 'Antibacterial', 'Antimalarial', 'Molluscicidal', 'Inhibition of Cathepsin L', 'Antichagasic', 'Inhibition of Cathepsin V', 'Cytotoxic', 'Insecticidal', 'Inhibition of Cathepsin B', 'Inhibition of Protease', 'Antiviral', 'Anti-inflamatory', 'Anxiolytic', 'Anesthetic', 'Antitrypanosomal', 'Antiangiogenic', 'Antioxidant', 'Inhibition of Acetylcholinesterase', 'Antileishmanial', 'Inhibition of Glycosidase', 'Inhibition of Myeloperoxodase', 'Antifungal']]",doi_bioActivity
