true,restored,edge_type
"['10.1248/cpb.56.407', 'Anti-inflamatory']","['10.1248/cpb.56.407', ['Antiallergenic', 'Anxiolytic', 'Cell growth inhbition', 'Insect antennae response', 'Inhibition of Cathepsin V', 'Antimalarial', 'Inhibition of basal electron transport', 'Inhibition of Cathepsin L', 'Mutagenic', 'Genotoxic', 'Inhibition of Cathepsin B', 'Antileishmanial', 'Anti-inflamatory', 'Anesthetic', 'Inhibition of phosphorylating electron transport', 'Inhibition of uncoupled electron transport', 'Inhibition of ATP synthesis', 'Antiangiogenic', 'Antichagasic', 'Antitrypanosomal', 'Molluscicidal', 'Anticancer', 'Inhibition of Acetylcholinesterase', 'Inhibition of Myeloperoxodase', 'Cytotoxic', 'Inhibition of Glycosidase', 'Antibacterial', 'Insecticidal', 'Antioxidant', 'Antifungal', 'Antinociceptive', 'Inhibition of Protease', 'Antiviral']]",doi_bioActivity
"['10.1016/j.phytochem.2005.06.019', 'Antioxidant']","['10.1016/j.phytochem.2005.06.019', ['Cell growth inhbition', 'Antiallergenic', 'Anti-inflamatory', 'Inhibition of basal electron transport', 'Mutagenic', 'Genotoxic', 'Anxiolytic', 'Insect antennae response', 'Molluscicidal', 'Antiangiogenic', 'Inhibition of Cathepsin B', 'Inhibition of uncoupled electron transport', 'Inhibition of Cathepsin L', 'Inhibition of phosphorylating electron transport', 'Anesthetic', 'Inhibition of ATP synthesis', 'Inhibition of Acetylcholinesterase', 'Antimalarial', 'Antioxidant', 'Inhibition of Glycosidase', 'Antileishmanial', 'Inhibition of Myeloperoxodase', 'Inhibition of Cathepsin V', 'Antichagasic', 'Cytotoxic', 'Antibacterial', 'Antifungal', 'Anticancer', 'Antitrypanosomal', 'Insecticidal', 'Antinociceptive', 'Inhibition of Protease', 'Antiviral']]",doi_bioActivity
"['10.1155/2013/835081', 'Antifungal']","['10.1155/2013/835081', ['Cell growth inhbition', 'Inhibition of basal electron transport', 'Molluscicidal', 'Inhibition of uncoupled electron transport', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis', 'Anesthetic', 'Inhibition of Cathepsin L', 'Antiallergenic', 'Inhibition of Cathepsin B', 'Antimalarial', 'Antiangiogenic', 'Inhibition of Cathepsin V', 'Antitrypanosomal', 'Mutagenic', 'Anxiolytic', 'Inhibition of Acetylcholinesterase', 'Insect antennae response', 'Antichagasic', 'Anticancer', 'Genotoxic', 'Antifungal', 'Anti-inflamatory', 'Antileishmanial', 'Insecticidal', 'Inhibition of Glycosidase', 'Cytotoxic', 'Antibacterial', 'Inhibition of Myeloperoxodase', 'Antioxidant', 'Antinociceptive', 'Inhibition of Protease', 'Antiviral']]",doi_bioActivity
"['10.1590/S0100-40422005000600011', 'Antifungal']","['10.1590/S0100-40422005000600011', ['Cell growth inhbition', 'Molluscicidal', 'Insect antennae response', 'Mutagenic', 'Genotoxic', 'Anxiolytic', 'Antibacterial', 'Inhibition of basal electron transport', 'Cytotoxic', 'Antiallergenic', 'Insecticidal', 'Inhibition of ATP synthesis', 'Inhibition of uncoupled electron transport', 'Anesthetic', 'Antifungal', 'Inhibition of phosphorylating electron transport', 'Antiangiogenic', 'Anticancer', 'Inhibition of Glycosidase', 'Inhibition of Cathepsin V', 'Inhibition of Cathepsin B', 'Antioxidant', 'Inhibition of Cathepsin L', 'Antichagasic', 'Inhibition of Myeloperoxodase', 'Antimalarial', 'Inhibition of Acetylcholinesterase', 'Antileishmanial', 'Anti-inflamatory', 'Antitrypanosomal', 'Antinociceptive', 'Inhibition of Protease', 'Antiviral']]",doi_bioActivity
"['10.1023/A:1025694720727', 'Antitrypanosomal']","['10.1023/A:1025694720727', ['Cell growth inhbition', 'Anxiolytic', 'Molluscicidal', 'Insect antennae response', 'Antiallergenic', 'Mutagenic', 'Genotoxic', 'Inhibition of Acetylcholinesterase', 'Antiangiogenic', 'Inhibition of basal electron transport', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Inhibition of Cathepsin B', 'Anti-inflamatory', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis', 'Inhibition of Glycosidase', 'Antioxidant', 'Insecticidal', 'Inhibition of Cathepsin L', 'Antimalarial', 'Antibacterial', 'Anticancer', 'Inhibition of Cathepsin V', 'Inhibition of Myeloperoxodase', 'Cytotoxic', 'Antichagasic', 'Antileishmanial', 'Antifungal', 'Antitrypanosomal', 'Antinociceptive', 'Inhibition of Protease', 'Antiviral']]",doi_bioActivity
"['10.1021/np9703656', 'Antifungal']","['10.1021/np9703656', ['Molluscicidal', 'Cell growth inhbition', 'Anticancer', 'Insect antennae response', 'Mutagenic', 'Genotoxic', 'Antifungal', 'Antiallergenic', 'Inhibition of Cathepsin B', 'Insecticidal', 'Anxiolytic', 'Antibacterial', 'Cytotoxic', 'Antimalarial', 'Antitrypanosomal', 'Antichagasic', 'Inhibition of Acetylcholinesterase', 'Inhibition of Cathepsin L', 'Anesthetic', 'Antioxidant', 'Antiangiogenic', 'Inhibition of Glycosidase', 'Inhibition of Myeloperoxodase', 'Inhibition of uncoupled electron transport', 'Anti-inflamatory', 'Inhibition of Cathepsin V', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis', 'Inhibition of basal electron transport', 'Antileishmanial', 'Antinociceptive', 'Inhibition of Protease', 'Antiviral']]",doi_bioActivity
"['10.1590/S0103-50532009000100029', 'Antitrypanosomal']","['10.1590/S0103-50532009000100029', ['Antibacterial', 'Cell growth inhbition', 'Anxiolytic', 'Inhibition of basal electron transport', 'Antiallergenic', 'Mutagenic', 'Inhibition of ATP synthesis', 'Genotoxic', 'Inhibition of Cathepsin V', 'Antitrypanosomal', 'Inhibition of uncoupled electron transport', 'Anesthetic', 'Inhibition of phosphorylating electron transport', 'Insect antennae response', 'Molluscicidal', 'Inhibition of Cathepsin L', 'Antiangiogenic', 'Inhibition of Glycosidase', 'Antimalarial', 'Inhibition of Acetylcholinesterase', 'Inhibition of Cathepsin B', 'Antifungal', 'Anti-inflamatory', 'Inhibition of Myeloperoxodase', 'Antileishmanial', 'Antichagasic', 'Insecticidal', 'Cytotoxic', 'Antioxidant', 'Anticancer', 'Antinociceptive', 'Inhibition of Protease', 'Antiviral']]",doi_bioActivity
"['10.1007/s10295-012-1165-2', 'Cytotoxic']","['10.1007/s10295-012-1165-2', ['Inhibition of Cathepsin L', 'Antiallergenic', 'Inhibition of Cathepsin B', 'Antimalarial', 'Antichagasic', 'Cell growth inhbition', 'Anticancer', 'Mutagenic', 'Genotoxic', 'Inhibition of Cathepsin V', 'Antileishmanial', 'Anxiolytic', 'Cytotoxic', 'Inhibition of basal electron transport', 'Antiangiogenic', 'Inhibition of Myeloperoxodase', 'Inhibition of Glycosidase', 'Molluscicidal', 'Insect antennae response', 'Anti-inflamatory', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis', 'Inhibition of uncoupled electron transport', 'Antitrypanosomal', 'Anesthetic', 'Antibacterial', 'Insecticidal', 'Antioxidant', 'Inhibition of Acetylcholinesterase', 'Antifungal', 'Antinociceptive', 'Inhibition of Protease', 'Antiviral']]",doi_bioActivity
"['10.1590/S0103-50532005000800008', 'Antioxidant']","['10.1590/S0103-50532005000800008', ['Cell growth inhbition', 'Anxiolytic', 'Molluscicidal', 'Antioxidant', 'Antiallergenic', 'Inhibition of basal electron transport', 'Antibacterial', 'Anti-inflamatory', 'Inhibition of Glycosidase', 'Insect antennae response', 'Genotoxic', 'Mutagenic', 'Antiangiogenic', 'Inhibition of ATP synthesis', 'Inhibition of uncoupled electron transport', 'Anesthetic', 'Antifungal', 'Inhibition of phosphorylating electron transport', 'Inhibition of Cathepsin B', 'Inhibition of Myeloperoxodase', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin V', 'Antimalarial', 'Antichagasic', 'Cytotoxic', 'Insecticidal', 'Inhibition of Acetylcholinesterase', 'Anticancer', 'Antileishmanial', 'Antitrypanosomal', 'Antinociceptive', 'Inhibition of Protease', 'Antiviral']]",doi_bioActivity
"['10.1590/S0103-50532005000300018', 'Inhibition of Acetylcholinesterase']","['10.1590/S0103-50532005000300018', ['Cell growth inhbition', 'Molluscicidal', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B', 'Antimalarial', 'Antiallergenic', 'Antitrypanosomal', 'Insect antennae response', 'Antichagasic', 'Inhibition of basal electron transport', 'Anticancer', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Mutagenic', 'Antileishmanial', 'Inhibition of Cathepsin V', 'Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport', 'Anxiolytic', 'Inhibition of Acetylcholinesterase', 'Genotoxic', 'Antiangiogenic', 'Antibacterial', 'Inhibition of Myeloperoxodase', 'Anti-inflamatory', 'Insecticidal', 'Inhibition of Glycosidase', 'Cytotoxic', 'Antifungal', 'Antioxidant', 'Antinociceptive', 'Inhibition of Protease', 'Antiviral']]",doi_bioActivity
