true,restored,edge_type
"['10.1590/S0103-50532005000800025', 'Ibirama/SC']","['10.1590/S0103-50532005000800025', ['Sao Sebastiao Do Passe/BA', 'Belem/PA', 'Corumba/MS', 'Murici/AL', 'N/A/CE', 'Cordeiropolis/SP', 'Maues/AM', 'Iguape/SP', 'Vicosa/MG', 'Cunha/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Igarape-acu/PA', 'Rio Verde/GO', 'N/A/SP, Cedrela fissilis', 'N/A/PE', 'Rio De Janeiro/RJ', 'Rifaina/SP', 'Chapada Dos Guimaraes/MT', 'Sao Miguel Arcanjo/SP', 'Rio Claro/SP', 'Recife/PE', 'Apore/GO', 'Itaituba/PA', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Urucuca/BA', 'Campinas/SP', 'Itirapina/SP', 'N/A/MG', 'Lavras/MG', 'Goiania/GO', 'Cuiaba/MT', 'N/A/SP', 'Londrina/PR', 'Santarem/PA', 'Ibirama/SC', 'Sao Carlos/SP', 'N/A/AM', 'Piracicaba/SP', 'Peruibe/SP', 'Itacoatiara/AM', 'Mogi Guacu/SP', 'Pirenopolis/GO', 'Ibate/SP', 'N/A/MS', 'Pocos De Caldas/MG', 'Araraquara/SP', 'Teodoro Sampaio/SP', 'Sao Paulo/SP', 'N/A/ES', 'Manaus/AM', 'Ribeirao Preto/SP']]",doi_collectionSite
"['10.1021/np9703656', 'Teodoro Sampaio/SP']","['10.1021/np9703656', ['Sao Sebastiao Do Passe/BA', 'Murici/AL', 'Corumba/MS', 'N/A/CE', 'Maues/AM', 'Cordeiropolis/SP', 'Belem/PA', 'Iguape/SP', 'Cunha/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Igarape-acu/PA', 'Teodoro Sampaio/SP', 'Apore/GO', 'Araraquara/SP', 'Manaus/AM', 'Santarem/PA', 'N/A/MS', 'N/A/PE', 'N/A/MG', 'Peruibe/SP', 'Sao Paulo/SP', 'Ribeirao Preto/SP', 'N/A/ES', 'Recife/PE', 'Rio De Janeiro/RJ', 'Itirapina/SP', 'Goiania/GO', 'Chapada Dos Guimaraes/MT', 'Cuiaba/MT', 'Sao Carlos/SP', 'N/A/SP, Cedrela fissilis', 'Lavras/MG', 'Ibate/SP', 'Urucuca/BA', 'Pirenopolis/GO', 'N/A/AM', 'Itacoatiara/AM', 'Piracicaba/SP', 'Mogi Guacu/SP', 'Rio Claro/SP', 'Sao Miguel Arcanjo/SP', 'Vicosa/MG', 'Ibirama/SC', 'N/A/SP', 'Londrina/PR', 'Rio Verde/GO', 'Itaituba/PA', 'Pocos De Caldas/MG', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Campinas/SP', 'Rifaina/SP']]",doi_collectionSite
"['10.1016/S0031-9422(00)00248-X', 'N/A/ES']","['10.1016/S0031-9422(00)00248-X', ['Belem/PA', 'Recife/PE', 'Sao Sebastiao Do Passe/BA', 'Corumba/MS', 'Murici/AL', 'Iguape/SP', 'Maues/AM', 'Teodoro Sampaio/SP', 'N/A/CE', 'Cordeiropolis/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Cunha/SP', 'Manaus/AM', 'Igarape-acu/PA', 'Lavras/MG', 'Ibirama/SC', 'Itirapina/SP', 'Sao Carlos/SP', 'Rio Claro/SP', 'Ibate/SP', 'Pocos De Caldas/MG', 'Piracicaba/SP', 'Itacoatiara/AM', 'Sao Miguel Arcanjo/SP', 'Rifaina/SP', 'Rio Verde/GO', 'N/A/ES', 'Goiania/GO', 'Pirenopolis/GO', 'Vicosa/MG', 'Itaituba/PA', 'N/A/SP, Cedrela fissilis', 'Chapada Dos Guimaraes/MT', 'Sao Paulo/SP', 'Rio De Janeiro/RJ', 'Peruibe/SP', 'Cuiaba/MT', 'Campinas/SP', 'Araraquara/SP', 'Urucuca/BA', 'Mogi Guacu/SP', 'Londrina/PR', 'Santarem/PA', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/AM', 'Apore/GO', 'N/A/SP', 'N/A/MS', 'Ribeirao Preto/SP', 'N/A/PE', 'N/A/MG']]",doi_collectionSite
"['10.1021/np9004079', 'Campinas/SP']","['10.1021/np9004079', ['Sao Sebastiao Do Passe/BA', 'Belem/PA', 'Corumba/MS', 'Murici/AL', 'N/A/CE', 'Cordeiropolis/SP', 'Maues/AM', 'Iguape/SP', 'N/A/PE', 'Cunha/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Igarape-acu/PA', 'Campinas/SP', 'Vicosa/MG', 'Goiania/GO', 'N/A/MG', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Sao Miguel Arcanjo/SP', 'Apore/GO', 'Itaituba/PA', 'Peruibe/SP', 'Pocos De Caldas/MG', 'Rio Verde/GO', 'Itirapina/SP', 'Rio De Janeiro/RJ', 'Santarem/PA', 'Ibirama/SC', 'N/A/SP', 'N/A/MS', 'N/A/AM', 'Sao Paulo/SP', 'Urucuca/BA', 'Rio Claro/SP', 'Lavras/MG', 'Mogi Guacu/SP', 'Ribeirao Preto/SP', 'Teodoro Sampaio/SP', 'N/A/SP, Cedrela fissilis', 'Chapada Dos Guimaraes/MT', 'Recife/PE', 'Itacoatiara/AM', 'Araraquara/SP', 'Cuiaba/MT', 'Londrina/PR', 'Pirenopolis/GO', 'N/A/ES', 'Manaus/AM', 'Piracicaba/SP', 'Ibate/SP', 'Sao Carlos/SP']]",doi_collectionSite
"['10.1016/j.phytochem.2006.09.005', 'Araraquara/SP']","['10.1016/j.phytochem.2006.09.005', ['Sao Sebastiao Do Passe/BA', 'Belem/PA', 'Corumba/MS', 'Murici/AL', 'N/A/CE', 'Cordeiropolis/SP', 'Maues/AM', 'Iguape/SP', 'Cunha/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Igarape-acu/PA', 'N/A/PE', 'Vicosa/MG', 'Rifaina/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Itaituba/PA', 'Rio Verde/GO', 'N/A/MS', 'N/A/MG', 'Goiania/GO', 'Rio De Janeiro/RJ', 'Campinas/SP', 'Sao Miguel Arcanjo/SP', 'N/A/SP, Cedrela fissilis', 'Peruibe/SP', 'Pocos De Caldas/MG', 'Chapada Dos Guimaraes/MT', 'Urucuca/BA', 'N/A/SP', 'N/A/AM', 'Apore/GO', 'Sao Paulo/SP', 'Santarem/PA', 'Itirapina/SP', 'Pirenopolis/GO', 'Recife/PE', 'Rio Claro/SP', 'Itacoatiara/AM', 'Ibate/SP', 'Araraquara/SP', 'Cuiaba/MT', 'Ribeirao Preto/SP', 'Teodoro Sampaio/SP', 'Ibirama/SC', 'Londrina/PR', 'N/A/ES', 'Lavras/MG', 'Sao Carlos/SP', 'Manaus/AM', 'Piracicaba/SP', 'Mogi Guacu/SP']]",doi_collectionSite
"['10.1590/S0103-50532005000800029', 'Maues/AM']","['10.1590/S0103-50532005000800029', ['Sao Sebastiao Do Passe/BA', 'Belem/PA', 'Corumba/MS', 'Murici/AL', 'N/A/CE', 'Cordeiropolis/SP', 'Maues/AM', 'Iguape/SP', 'Cunha/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Igarape-acu/PA', 'N/A/PE', 'Vicosa/MG', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Itaituba/PA', 'Rifaina/SP', 'Ribeirao Preto/SP', 'N/A/MS', 'N/A/MG', 'Rio Claro/SP', 'Araraquara/SP', 'Campinas/SP', 'Rio De Janeiro/RJ', 'Sao Miguel Arcanjo/SP', 'N/A/SP, Cedrela fissilis', 'Rio Verde/GO', 'Urucuca/BA', 'Chapada Dos Guimaraes/MT', 'Recife/PE', 'Santarem/PA', 'N/A/SP', 'Ibate/SP', 'Cuiaba/MT', 'Londrina/PR', 'Pocos De Caldas/MG', 'Teodoro Sampaio/SP', 'Itacoatiara/AM', 'Apore/GO', 'Goiania/GO', 'Itirapina/SP', 'Sao Carlos/SP', 'Peruibe/SP', 'N/A/AM', 'N/A/ES', 'Ibirama/SC', 'Pirenopolis/GO', 'Lavras/MG', 'Piracicaba/SP', 'Mogi Guacu/SP', 'Sao Paulo/SP', 'Manaus/AM']]",doi_collectionSite
"['10.1021/np049863m', 'Belem/PA']","['10.1021/np049863m', ['Sao Sebastiao Do Passe/BA', 'Belem/PA', 'Corumba/MS', 'Murici/AL', 'N/A/CE', 'Cordeiropolis/SP', 'Maues/AM', 'Iguape/SP', 'Vicosa/MG', 'Cunha/SP', 'Rifaina/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Igarape-acu/PA', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Itaituba/PA', 'N/A/PE', 'Cuiaba/MT', 'Rio Verde/GO', 'Londrina/PR', 'N/A/SP', 'N/A/MS', 'Goiania/GO', 'Recife/PE', 'Sao Miguel Arcanjo/SP', 'Rio De Janeiro/RJ', 'Rio Claro/SP', 'N/A/SP, Cedrela fissilis', 'Urucuca/BA', 'Ibate/SP', 'Peruibe/SP', 'Itirapina/SP', 'Santarem/PA', 'N/A/MG', 'Chapada Dos Guimaraes/MT', 'Campinas/SP', 'Ibirama/SC', 'Araraquara/SP', 'Lavras/MG', 'Piracicaba/SP', 'Mogi Guacu/SP', 'Apore/GO', 'Sao Carlos/SP', 'Sao Paulo/SP', 'Ribeirao Preto/SP', 'Pirenopolis/GO', 'N/A/AM', 'Itacoatiara/AM', 'Pocos De Caldas/MG', 'Teodoro Sampaio/SP', 'N/A/ES', 'Manaus/AM']]",doi_collectionSite
"['10.1016/j.jphotobiol.2013.01.006', 'Sao Paulo/SP']","['10.1016/j.jphotobiol.2013.01.006', ['Sao Sebastiao Do Passe/BA', 'Belem/PA', 'Corumba/MS', 'Murici/AL', 'N/A/CE', 'Cordeiropolis/SP', 'Maues/AM', 'Iguape/SP', 'Cunha/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Igarape-acu/PA', 'Vicosa/MG', 'N/A/PE', 'Rio De Janeiro/RJ', 'Itaituba/PA', 'N/A/SP', 'N/A/SP, Cedrela fissilis', 'Rio Verde/GO', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Rifaina/SP', 'Urucuca/BA', 'Cuiaba/MT', 'N/A/MS', 'N/A/MG', 'Sao Paulo/SP', 'Apore/GO', 'Londrina/PR', 'Goiania/GO', 'Araraquara/SP', 'Chapada Dos Guimaraes/MT', 'Sao Miguel Arcanjo/SP', 'Ibate/SP', 'Sao Carlos/SP', 'Recife/PE', 'N/A/AM', 'N/A/ES', 'Peruibe/SP', 'Pocos De Caldas/MG', 'Piracicaba/SP', 'Itirapina/SP', 'Santarem/PA', 'Ibirama/SC', 'Lavras/MG', 'Rio Claro/SP', 'Itacoatiara/AM', 'Pirenopolis/GO', 'Campinas/SP', 'Mogi Guacu/SP', 'Teodoro Sampaio/SP', 'Ribeirao Preto/SP', 'Manaus/AM']]",doi_collectionSite
"['10.1590/S1519-566X2008000600013', 'Itacoatiara/AM']","['10.1590/S1519-566X2008000600013', ['Sao Sebastiao Do Passe/BA', 'Vicosa/MG', 'Belem/PA', 'Corumba/MS', 'Murici/AL', 'N/A/CE', 'Cordeiropolis/SP', 'Maues/AM', 'Rifaina/SP', 'Iguape/SP', 'Itaituba/PA', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Cunha/SP', 'Recife/PE', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rio Verde/GO', 'Igarape-acu/PA', 'N/A/PE', 'N/A/MS', 'N/A/SP, Cedrela fissilis', 'Sao Miguel Arcanjo/SP', 'N/A/SP', 'Piracicaba/SP', 'Rio Claro/SP', 'Itirapina/SP', 'Goiania/GO', 'Pocos De Caldas/MG', 'Lavras/MG', 'Sao Carlos/SP', 'Londrina/PR', 'Cuiaba/MT', 'Ribeirao Preto/SP', 'Santarem/PA', 'Ibate/SP', 'Pirenopolis/GO', 'Teodoro Sampaio/SP', 'Rio De Janeiro/RJ', 'Chapada Dos Guimaraes/MT', 'Ibirama/SC', 'Mogi Guacu/SP', 'Manaus/AM', 'Urucuca/BA', 'Peruibe/SP', 'Araraquara/SP', 'Itacoatiara/AM', 'Campinas/SP', 'Apore/GO', 'N/A/AM', 'N/A/MG', 'Sao Paulo/SP', 'N/A/ES']]",doi_collectionSite
"['10.1016/S0031-9422(00)00477-5', 'Belem/PA']","['10.1016/S0031-9422(00)00477-5', ['Recife/PE', 'Belem/PA', 'Sao Sebastiao Do Passe/BA', 'Corumba/MS', 'Murici/AL', 'Teodoro Sampaio/SP', 'Iguape/SP', 'Maues/AM', 'N/A/CE', 'Cordeiropolis/SP', 'Cunha/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Manaus/AM', 'Igarape-acu/PA', 'Lavras/MG', 'Ibirama/SC', 'Itirapina/SP', 'Sao Carlos/SP', 'Rio Claro/SP', 'Ibate/SP', 'Piracicaba/SP', 'Sao Miguel Arcanjo/SP', 'Vicosa/MG', 'Rifaina/SP', 'Rio Verde/GO', 'Pocos De Caldas/MG', 'Itaituba/PA', 'Itacoatiara/AM', 'N/A/SP, Cedrela fissilis', 'N/A/ES', 'Chapada Dos Guimaraes/MT', 'Goiania/GO', 'Rio De Janeiro/RJ', 'Pirenopolis/GO', 'Araraquara/SP', 'Cuiaba/MT', 'Campinas/SP', 'Londrina/PR', 'Mogi Guacu/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Sao Paulo/SP', 'Urucuca/BA', 'Peruibe/SP', 'Santarem/PA', 'N/A/MS', 'Ribeirao Preto/SP', 'N/A/SP', 'Apore/GO', 'N/A/AM', 'N/A/PE', 'N/A/MG']]",doi_collectionSite
