true,restored,edge_type
"['10.1021/np049863m', 'Belem/PA']","['10.1021/np049863m', ['Londrina/PR', 'Cunha/SP', 'Sao Sebastiao Do Passe/BA', 'Itaituba/PA', 'Urucuca/BA', 'N/A/SP, Cedrela fissilis', 'Iguape/SP', 'Cuiaba/MT', 'Piracicaba/SP', 'Murici/AL', 'Apore/GO', 'Lavras/MG', 'Rio Verde/GO', 'Goiania/GO', 'Teodoro Sampaio/SP', 'Santarem/PA', 'Itirapina/SP', 'N/A/PE', 'Chapada Dos Guimaraes/MT', 'N/A/MS', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Rio De Janeiro/RJ', 'Vicosa/MG', 'Belem/PA', 'N/A/MG', 'Rio Claro/SP', 'Recife/PE', 'Cordeiropolis/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Peruibe/SP', 'Mogi Guacu/SP', 'N/A/CE', 'Ibirama/SC', 'Maues/AM', 'N/A/ES', 'Igarape-acu/PA', 'Ribeirao Preto/SP', 'Sao Carlos/SP', 'Sao Paulo/SP', 'Araraquara/SP', 'Sao Miguel Arcanjo/SP', 'Campinas/SP', 'Pocos De Caldas/MG', 'Corumba/MS', 'Itacoatiara/AM', 'N/A/SP', 'Ibate/SP', 'N/A/AM', 'Pirenopolis/GO', 'Manaus/AM']]",doi_collectionSite
"['10.1002/hlca.200890147', 'Apore/GO']","['10.1002/hlca.200890147', ['Londrina/PR', 'Cunha/SP', 'Sao Sebastiao Do Passe/BA', 'Itaituba/PA', 'Urucuca/BA', 'N/A/SP, Cedrela fissilis', 'Iguape/SP', 'Cuiaba/MT', 'Piracicaba/SP', 'Murici/AL', 'Apore/GO', 'Lavras/MG', 'Rio Verde/GO', 'Goiania/GO', 'Teodoro Sampaio/SP', 'Santarem/PA', 'Itirapina/SP', 'Chapada Dos Guimaraes/MT', 'N/A/PE', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Rio De Janeiro/RJ', 'N/A/CE', 'Vicosa/MG', 'N/A/MS', 'Sao Miguel Arcanjo/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Peruibe/SP', 'Igarape-acu/PA', 'Araraquara/SP', 'N/A/MG', 'Ibate/SP', 'Belem/PA', 'Cordeiropolis/SP', 'Campinas/SP', 'Mogi Guacu/SP', 'Maues/AM', 'Recife/PE', 'Pirenopolis/GO', 'N/A/SP', 'Rio Claro/SP', 'N/A/AM', 'Ribeirao Preto/SP', 'Ibirama/SC', 'Itacoatiara/AM', 'Sao Carlos/SP', 'Sao Paulo/SP', 'Corumba/MS', 'N/A/ES', 'Pocos De Caldas/MG', 'Manaus/AM']]",doi_collectionSite
"['10.1016/j.phytochem.2006.06.004', 'Araraquara/SP']","['10.1016/j.phytochem.2006.06.004', ['Londrina/PR', 'Sao Sebastiao Do Passe/BA', 'Cunha/SP', 'Itaituba/PA', 'Urucuca/BA', 'Iguape/SP', 'N/A/SP, Cedrela fissilis', 'Cuiaba/MT', 'Piracicaba/SP', 'Murici/AL', 'Apore/GO', 'Lavras/MG', 'Rio Verde/GO', 'Goiania/GO', 'Santarem/PA', 'Teodoro Sampaio/SP', 'Chapada Dos Guimaraes/MT', 'Itirapina/SP', 'N/A/PE', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Rio De Janeiro/RJ', 'Vicosa/MG', 'N/A/MS', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/CE', 'N/A/MG', 'Cordeiropolis/SP', 'Maues/AM', 'Sao Miguel Arcanjo/SP', 'Igarape-acu/PA', 'Araraquara/SP', 'Corumba/MS', 'Recife/PE', 'Mogi Guacu/SP', 'Itacoatiara/AM', 'N/A/AM', 'Pirenopolis/GO', 'Rio Claro/SP', 'Peruibe/SP', 'Ribeirao Preto/SP', 'Sao Paulo/SP', 'N/A/ES', 'Sao Carlos/SP', 'Ibirama/SC', 'Belem/PA', 'Campinas/SP', 'Pocos De Caldas/MG', 'N/A/SP', 'Manaus/AM', 'Ibate/SP']]",doi_collectionSite
"['10.1016/j.phytochem.2004.03.039', 'Goiania/GO']","['10.1016/j.phytochem.2004.03.039', ['Londrina/PR', 'Cunha/SP', 'Sao Sebastiao Do Passe/BA', 'Itaituba/PA', 'Urucuca/BA', 'Iguape/SP', 'N/A/SP, Cedrela fissilis', 'Cuiaba/MT', 'Piracicaba/SP', 'Murici/AL', 'Apore/GO', 'Lavras/MG', 'Rio Verde/GO', 'Goiania/GO', 'Santarem/PA', 'Teodoro Sampaio/SP', 'Itirapina/SP', 'Chapada Dos Guimaraes/MT', 'N/A/PE', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Rio De Janeiro/RJ', 'Peruibe/SP', 'N/A/MG', 'N/A/MS', 'Vicosa/MG', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/CE', 'Maues/AM', 'Sao Miguel Arcanjo/SP', 'Rio Claro/SP', 'Ibate/SP', 'Cordeiropolis/SP', 'Belem/PA', 'Campinas/SP', 'Ribeirao Preto/SP', 'Mogi Guacu/SP', 'N/A/AM', 'N/A/ES', 'Igarape-acu/PA', 'Araraquara/SP', 'N/A/SP', 'Itacoatiara/AM', 'Sao Paulo/SP', 'Corumba/MS', 'Ibirama/SC', 'Sao Carlos/SP', 'Pirenopolis/GO', 'Recife/PE', 'Pocos De Caldas/MG', 'Manaus/AM']]",doi_collectionSite
"['10.1016/j.bmc.2010.12.056', 'Campinas/SP']","['10.1016/j.bmc.2010.12.056', ['Londrina/PR', 'Sao Sebastiao Do Passe/BA', 'Cunha/SP', 'Itaituba/PA', 'Urucuca/BA', 'Iguape/SP', 'N/A/SP, Cedrela fissilis', 'Cuiaba/MT', 'Piracicaba/SP', 'Murici/AL', 'Lavras/MG', 'Apore/GO', 'Rio Verde/GO', 'Goiania/GO', 'N/A/CE', 'Santarem/PA', 'Teodoro Sampaio/SP', 'Itirapina/SP', 'Chapada Dos Guimaraes/MT', 'N/A/PE', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Vicosa/MG', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'N/A/MS', 'Rio De Janeiro/RJ', 'Cordeiropolis/SP', 'Maues/AM', 'Recife/PE', 'Campinas/SP', 'Igarape-acu/PA', 'Rio Claro/SP', 'Ribeirao Preto/SP', 'Sao Miguel Arcanjo/SP', 'Araraquara/SP', 'Sao Carlos/SP', 'N/A/MG', 'Belem/PA', 'Pirenopolis/GO', 'Itacoatiara/AM', 'Sao Paulo/SP', 'Pocos De Caldas/MG', 'N/A/SP', 'Mogi Guacu/SP', 'Peruibe/SP', 'N/A/ES', 'Ibirama/SC', 'Corumba/MS', 'N/A/AM', 'Ibate/SP', 'Manaus/AM']]",doi_collectionSite
"['10.1023/A:1025694720727', 'Ibirama/SC']","['10.1023/A:1025694720727', ['Londrina/PR', 'Cunha/SP', 'Sao Sebastiao Do Passe/BA', 'Itaituba/PA', 'Urucuca/BA', 'Iguape/SP', 'N/A/SP, Cedrela fissilis', 'Cuiaba/MT', 'Piracicaba/SP', 'Murici/AL', 'Apore/GO', 'Lavras/MG', 'Rio Verde/GO', 'Goiania/GO', 'Vicosa/MG', 'Santarem/PA', 'Teodoro Sampaio/SP', 'Itirapina/SP', 'Chapada Dos Guimaraes/MT', 'N/A/PE', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Rio De Janeiro/RJ', 'Igarape-acu/PA', 'N/A/CE', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Cordeiropolis/SP', 'N/A/MS', 'N/A/MG', 'Belem/PA', 'N/A/AM', 'Rio Claro/SP', 'Itacoatiara/AM', 'Mogi Guacu/SP', 'Ribeirao Preto/SP', 'Corumba/MS', 'Pocos De Caldas/MG', 'Araraquara/SP', 'Peruibe/SP', 'Maues/AM', 'Ibirama/SC', 'Recife/PE', 'Pirenopolis/GO', 'Sao Miguel Arcanjo/SP', 'Ibate/SP', 'Campinas/SP', 'Sao Paulo/SP', 'N/A/SP', 'Sao Carlos/SP', 'N/A/ES', 'Manaus/AM']]",doi_collectionSite
"['10.1590/S0103-50532002000100010', 'Ibirama/SC']","['10.1590/S0103-50532002000100010', ['Londrina/PR', 'Cunha/SP', 'Sao Sebastiao Do Passe/BA', 'Itaituba/PA', 'Urucuca/BA', 'N/A/SP, Cedrela fissilis', 'Iguape/SP', 'Cuiaba/MT', 'Piracicaba/SP', 'Apore/GO', 'Murici/AL', 'Lavras/MG', 'Rio Verde/GO', 'Goiania/GO', 'Teodoro Sampaio/SP', 'Santarem/PA', 'Itirapina/SP', 'N/A/PE', 'Chapada Dos Guimaraes/MT', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Rio De Janeiro/RJ', 'Vicosa/MG', 'N/A/MG', 'Rio Claro/SP', 'Recife/PE', 'N/A/MS', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Campinas/SP', 'N/A/SP', 'Cordeiropolis/SP', 'Peruibe/SP', 'N/A/CE', 'N/A/AM', 'N/A/ES', 'Igarape-acu/PA', 'Pocos De Caldas/MG', 'Belem/PA', 'Itacoatiara/AM', 'Ibate/SP', 'Sao Paulo/SP', 'Maues/AM', 'Sao Carlos/SP', 'Ibirama/SC', 'Pirenopolis/GO', 'Corumba/MS', 'Ribeirao Preto/SP', 'Sao Miguel Arcanjo/SP', 'Mogi Guacu/SP', 'Araraquara/SP', 'Manaus/AM']]",doi_collectionSite
"['10.1590/S0100-40422008000400018', 'Sao Paulo/SP']","['10.1590/S0100-40422008000400018', ['Londrina/PR', 'Cunha/SP', 'Sao Sebastiao Do Passe/BA', 'Urucuca/BA', 'Itaituba/PA', 'N/A/SP, Cedrela fissilis', 'Cuiaba/MT', 'Iguape/SP', 'Piracicaba/SP', 'Apore/GO', 'Murici/AL', 'Lavras/MG', 'Rio Verde/GO', 'Goiania/GO', 'Teodoro Sampaio/SP', 'Santarem/PA', 'Itirapina/SP', 'N/A/PE', 'Chapada Dos Guimaraes/MT', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rio De Janeiro/RJ', 'Rifaina/SP', 'N/A/AM', 'Vicosa/MG', 'Recife/PE', 'Pirenopolis/GO', 'Igarape-acu/PA', 'Itacoatiara/AM', 'Corumba/MS', 'Ibirama/SC', 'N/A/MG', 'Manaus/AM', 'Ibate/SP', 'N/A/SP', 'N/A/ES', 'N/A/CE', 'N/A/MS', 'Belem/PA', 'Peruibe/SP', 'Sao Miguel Arcanjo/SP', 'Sao Carlos/SP', 'Rio Claro/SP', 'Pocos De Caldas/MG', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Sao Paulo/SP', 'Campinas/SP', 'Araraquara/SP', 'Cordeiropolis/SP', 'Ribeirao Preto/SP', 'Maues/AM', 'Mogi Guacu/SP']]",doi_collectionSite
"['10.1021/np030100t', 'Mogi Guacu/SP']","['10.1021/np030100t', ['Londrina/PR', 'Cunha/SP', 'Sao Sebastiao Do Passe/BA', 'Itaituba/PA', 'Urucuca/BA', 'Iguape/SP', 'N/A/SP, Cedrela fissilis', 'Cuiaba/MT', 'Piracicaba/SP', 'Murici/AL', 'Apore/GO', 'Lavras/MG', 'Rio Verde/GO', 'Goiania/GO', 'Santarem/PA', 'Teodoro Sampaio/SP', 'Itirapina/SP', 'Chapada Dos Guimaraes/MT', 'N/A/PE', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Rio De Janeiro/RJ', 'Vicosa/MG', 'N/A/MS', 'N/A/CE', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Peruibe/SP', 'N/A/MG', 'Cordeiropolis/SP', 'Sao Miguel Arcanjo/SP', 'Igarape-acu/PA', 'Belem/PA', 'Maues/AM', 'Rio Claro/SP', 'Ribeirao Preto/SP', 'Ibate/SP', 'N/A/AM', 'Mogi Guacu/SP', 'Araraquara/SP', 'Corumba/MS', 'Campinas/SP', 'Sao Paulo/SP', 'N/A/SP', 'Itacoatiara/AM', 'Ibirama/SC', 'Pirenopolis/GO', 'Recife/PE', 'N/A/ES', 'Sao Carlos/SP', 'Manaus/AM', 'Pocos De Caldas/MG']]",doi_collectionSite
"['10.1590/S0103-50532005000800025', 'Ibirama/SC']","['10.1590/S0103-50532005000800025', ['Londrina/PR', 'Cunha/SP', 'Sao Sebastiao Do Passe/BA', 'Itaituba/PA', 'Urucuca/BA', 'N/A/SP, Cedrela fissilis', 'Iguape/SP', 'Cuiaba/MT', 'Piracicaba/SP', 'Murici/AL', 'Apore/GO', 'Lavras/MG', 'Rio Verde/GO', 'Goiania/GO', 'Santarem/PA', 'Teodoro Sampaio/SP', 'Itirapina/SP', 'N/A/PE', 'Chapada Dos Guimaraes/MT', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Rio De Janeiro/RJ', 'Vicosa/MG', 'Rio Claro/SP', 'Cordeiropolis/SP', 'N/A/CE', 'Recife/PE', 'N/A/MS', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Campinas/SP', 'Igarape-acu/PA', 'Peruibe/SP', 'N/A/MG', 'Sao Carlos/SP', 'Belem/PA', 'N/A/SP', 'Sao Miguel Arcanjo/SP', 'Maues/AM', 'N/A/AM', 'N/A/ES', 'Sao Paulo/SP', 'Ribeirao Preto/SP', 'Ibirama/SC', 'Ibate/SP', 'Itacoatiara/AM', 'Corumba/MS', 'Pirenopolis/GO', 'Mogi Guacu/SP', 'Araraquara/SP', 'Pocos De Caldas/MG', 'Manaus/AM']]",doi_collectionSite
