true,restored,edge_type
"['10.1002/jobm.200800093', 'Ribeirao Preto/SP']","['10.1002/jobm.200800093', ['Ribeirao Preto/SP, Nigrospora sphaerica', 'Rio Claro/SP', 'Maues/AM', 'Lavras/MG', 'Igarape-acu/PA', 'Cordeiropolis/SP', 'N/A/CE', 'Cunha/SP', 'Rio Verde/GO', 'Sao Sebastiao Do Passe/BA', 'Vicosa/MG', 'Rifaina/SP', 'Campinas/SP', 'N/A/PE', 'Sao Miguel Arcanjo/SP', 'Urucuca/BA', 'Peruibe/SP', 'N/A/SP', 'Itaituba/PA', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Goiania/GO', 'Chapada Dos Guimaraes/MT', 'Londrina/PR', 'Rio De Janeiro/RJ', 'Piracicaba/SP', 'N/A/SP, Cedrela fissilis', 'N/A/MG', 'Cuiaba/MT', 'N/A/MS', 'Teodoro Sampaio/SP', 'Iguape/SP', 'Pocos De Caldas/MG', 'Sao Carlos/SP', 'Itacoatiara/AM', 'Araraquara/SP', 'Ribeirao Preto/SP', 'Recife/PE', 'Mogi Guacu/SP', 'Pirenopolis/GO', 'N/A/ES', 'Apore/GO', 'Ibate/SP', 'Sao Paulo/SP', 'Belem/PA', 'Murici/AL', 'Santarem/PA', 'Corumba/MS', 'Ibirama/SC', 'N/A/AM', 'Itirapina/SP', 'Manaus/AM']]",doi_collectionSite
"['10.1016/j.phytochem.2006.06.004', 'Araraquara/SP']","['10.1016/j.phytochem.2006.06.004', ['Ribeirao Preto/SP, Nigrospora sphaerica', 'Maues/AM', 'Rio Claro/SP', 'Lavras/MG', 'Igarape-acu/PA', 'Cordeiropolis/SP', 'N/A/CE', 'Cunha/SP', 'Rio Verde/GO', 'Sao Sebastiao Do Passe/BA', 'Vicosa/MG', 'Rifaina/SP', 'Peruibe/SP', 'N/A/PE', 'Sao Miguel Arcanjo/SP', 'Urucuca/BA', 'Recife/PE', 'Rio De Janeiro/RJ', 'Itaituba/PA', 'Chapada Dos Guimaraes/MT', 'Campinas/SP', 'N/A/SP', 'N/A/MS', 'Araraquara/SP', 'Sao Paulo/SP', 'Goiania/GO', 'N/A/SP, Cedrela fissilis', 'N/A/MG', 'Ibate/SP', 'Apore/GO', 'Ibirama/SC', 'Iguape/SP', 'Londrina/PR', 'Belem/PA', 'Piracicaba/SP', 'Santarem/PA', 'Cuiaba/MT', 'Teodoro Sampaio/SP', 'N/A/AM', 'Ribeirao Preto/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Sao Carlos/SP', 'Corumba/MS', 'N/A/ES', 'Itacoatiara/AM', 'Murici/AL', 'Itirapina/SP', 'Pocos De Caldas/MG', 'Mogi Guacu/SP', 'Pirenopolis/GO', 'Manaus/AM']]",doi_collectionSite
"['10.1590/S0102-695X2008000200010', 'Lavras/MG']","['10.1590/S0102-695X2008000200010', ['Ribeirao Preto/SP, Nigrospora sphaerica', 'Rio Claro/SP', 'Maues/AM', 'Lavras/MG', 'Igarape-acu/PA', 'Cordeiropolis/SP', 'N/A/CE', 'Cunha/SP', 'Rio Verde/GO', 'Sao Sebastiao Do Passe/BA', 'Vicosa/MG', 'Rifaina/SP', 'Rio De Janeiro/RJ', 'Piracicaba/SP', 'Itacoatiara/AM', 'Chapada Dos Guimaraes/MT', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'N/A/SP, Cedrela fissilis', 'Pirenopolis/GO', 'Pocos De Caldas/MG', 'Teodoro Sampaio/SP', 'Goiania/GO', 'Sao Carlos/SP', 'Sao Miguel Arcanjo/SP', 'Itaituba/PA', 'N/A/AM', 'N/A/SP', 'Araraquara/SP', 'N/A/MG', 'Manaus/AM', 'Urucuca/BA', 'Corumba/MS', 'N/A/PE', 'Recife/PE', 'Iguape/SP', 'Ribeirao Preto/SP', 'Murici/AL', 'Campinas/SP', 'Londrina/PR', 'N/A/ES', 'Peruibe/SP', 'Belem/PA', 'Sao Paulo/SP', 'Apore/GO', 'N/A/MS', 'Mogi Guacu/SP', 'Cuiaba/MT', 'Santarem/PA', 'Ibate/SP', 'Ibirama/SC', 'Itirapina/SP']]",doi_collectionSite
"['10.4067/S0717-97072009000300004', 'Sao Paulo/SP']","['10.4067/S0717-97072009000300004', ['Ribeirao Preto/SP, Nigrospora sphaerica', 'Rio Claro/SP', 'Maues/AM', 'Lavras/MG', 'Sao Sebastiao Do Passe/BA', 'Igarape-acu/PA', 'Cordeiropolis/SP', 'N/A/CE', 'Cunha/SP', 'Rio Verde/GO', 'Rifaina/SP', 'Vicosa/MG', 'Rio De Janeiro/RJ', 'Chapada Dos Guimaraes/MT', 'Sao Miguel Arcanjo/SP', 'Urucuca/BA', 'N/A/SP, Cedrela fissilis', 'Itacoatiara/AM', 'Goiania/GO', 'Londrina/PR', 'Teodoro Sampaio/SP', 'Peruibe/SP', 'N/A/SP', 'N/A/MS', 'Sao Carlos/SP', 'Piracicaba/SP', 'N/A/PE', 'Itaituba/PA', 'Iguape/SP', 'N/A/MG', 'Cuiaba/MT', 'Recife/PE', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Araraquara/SP', 'Ibirama/SC', 'Belem/PA', 'Mogi Guacu/SP', 'Pirenopolis/GO', 'Santarem/PA', 'Murici/AL', 'Ribeirao Preto/SP', 'Corumba/MS', 'Sao Paulo/SP', 'Pocos De Caldas/MG', 'N/A/AM', 'Campinas/SP', 'Ibate/SP', 'N/A/ES', 'Itirapina/SP', 'Apore/GO', 'Manaus/AM']]",doi_collectionSite
"['10.1016/S0031-9422(00)00226-0', 'Teodoro Sampaio/SP']","['10.1016/S0031-9422(00)00226-0', ['Ribeirao Preto/SP, Nigrospora sphaerica', 'Rio Claro/SP', 'Maues/AM', 'Lavras/MG', 'N/A/CE', 'Cordeiropolis/SP', 'Igarape-acu/PA', 'Cunha/SP', 'Rio Verde/GO', 'N/A/ES', 'Recife/PE', 'Belem/PA', 'Teodoro Sampaio/SP', 'Rifaina/SP', 'N/A/AM', 'Manaus/AM', 'Mogi Guacu/SP', 'Sao Miguel Arcanjo/SP', 'Ibirama/SC', 'Itirapina/SP', 'Araraquara/SP', 'Sao Carlos/SP', 'Corumba/MS', 'Ibate/SP', 'Murici/AL', 'Itacoatiara/AM', 'Santarem/PA', 'Vicosa/MG', 'Ribeirao Preto/SP', 'Sao Sebastiao Do Passe/BA', 'N/A/SP', 'Pocos De Caldas/MG', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Piracicaba/SP', 'N/A/MS', 'N/A/MG', 'Pirenopolis/GO', 'Campinas/SP', 'Itaituba/PA', 'N/A/PE', 'N/A/SP, Cedrela fissilis', 'Londrina/PR', 'Iguape/SP', 'Rio De Janeiro/RJ', 'Goiania/GO', 'Urucuca/BA', 'Peruibe/SP', 'Cuiaba/MT', 'Sao Paulo/SP', 'Apore/GO', 'Chapada Dos Guimaraes/MT']]",doi_collectionSite
"['10.1590/S0102-695X2009000100002', 'Campinas/SP']","['10.1590/S0102-695X2009000100002', ['Ribeirao Preto/SP, Nigrospora sphaerica', 'Rio Claro/SP', 'Maues/AM', 'Lavras/MG', 'Igarape-acu/PA', 'Cordeiropolis/SP', 'N/A/CE', 'Cunha/SP', 'Rio Verde/GO', 'Pirenopolis/GO', 'Urucuca/BA', 'Vicosa/MG', 'Chapada Dos Guimaraes/MT', 'Sao Carlos/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Itacoatiara/AM', 'N/A/SP', 'Sao Sebastiao Do Passe/BA', 'N/A/SP, Cedrela fissilis', 'Goiania/GO', 'Sao Miguel Arcanjo/SP', 'Peruibe/SP', 'Piracicaba/SP', 'Pocos De Caldas/MG', 'Ibate/SP', 'N/A/AM', 'Corumba/MS', 'Itaituba/PA', 'N/A/MS', 'Ribeirao Preto/SP', 'Rifaina/SP', 'Rio De Janeiro/RJ', 'Iguape/SP', 'Cuiaba/MT', 'N/A/MG', 'Londrina/PR', 'Sao Paulo/SP', 'Apore/GO', 'Campinas/SP', 'Recife/PE', 'N/A/ES', 'Murici/AL', 'Itirapina/SP', 'Belem/PA', 'Teodoro Sampaio/SP', 'Santarem/PA', 'Araraquara/SP', 'Ibirama/SC', 'Mogi Guacu/SP', 'Manaus/AM', 'N/A/PE']]",doi_collectionSite
"['10.1590/S0103-50532005000800029', 'Maues/AM']","['10.1590/S0103-50532005000800029', ['Ribeirao Preto/SP, Nigrospora sphaerica', 'Maues/AM', 'Rio Claro/SP', 'Lavras/MG', 'Igarape-acu/PA', 'Cordeiropolis/SP', 'N/A/CE', 'Cunha/SP', 'Rio Verde/GO', 'Sao Sebastiao Do Passe/BA', 'Rifaina/SP', 'Sao Miguel Arcanjo/SP', 'Vicosa/MG', 'Campinas/SP', 'N/A/PE', 'Rio De Janeiro/RJ', 'Recife/PE', 'N/A/SP', 'Urucuca/BA', 'Piracicaba/SP', 'Araraquara/SP', 'Teodoro Sampaio/SP', 'Itaituba/PA', 'Peruibe/SP', 'Iguape/SP', 'Chapada Dos Guimaraes/MT', 'N/A/MG', 'Londrina/PR', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Mogi Guacu/SP', 'Itacoatiara/AM', 'N/A/SP, Cedrela fissilis', 'Ibate/SP', 'N/A/MS', 'Cuiaba/MT', 'Goiania/GO', 'N/A/AM', 'Ribeirao Preto/SP', 'Pocos De Caldas/MG', 'Belem/PA', 'Apore/GO', 'N/A/ES', 'Santarem/PA', 'Sao Carlos/SP', 'Sao Paulo/SP', 'Ibirama/SC', 'Pirenopolis/GO', 'Manaus/AM', 'Itirapina/SP', 'Corumba/MS', 'Murici/AL']]",doi_collectionSite
"['10.1080/14786410903335232', 'Mogi Guacu/SP']","['10.1080/14786410903335232', ['Rifaina/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Rio Claro/SP', 'Maues/AM', 'Sao Sebastiao Do Passe/BA', 'Lavras/MG', 'Igarape-acu/PA', 'Cordeiropolis/SP', 'N/A/CE', 'Cunha/SP', 'N/A/SP', 'Rio Verde/GO', 'Vicosa/MG', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Teodoro Sampaio/SP', 'N/A/MG', 'Campinas/SP', 'Rio De Janeiro/RJ', 'Urucuca/BA', 'Chapada Dos Guimaraes/MT', 'Itaituba/PA', 'Peruibe/SP', 'N/A/PE', 'Sao Miguel Arcanjo/SP', 'N/A/MS', 'Itacoatiara/AM', 'Pocos De Caldas/MG', 'Goiania/GO', 'Recife/PE', 'N/A/ES', 'Mogi Guacu/SP', 'Ribeirao Preto/SP', 'Araraquara/SP', 'Londrina/PR', 'Cuiaba/MT', 'Piracicaba/SP', 'Belem/PA', 'Iguape/SP', 'N/A/SP, Cedrela fissilis', 'N/A/AM', 'Sao Carlos/SP', 'Pirenopolis/GO', 'Ibate/SP', 'Sao Paulo/SP', 'Corumba/MS', 'Ibirama/SC', 'Murici/AL', 'Santarem/PA', 'Itirapina/SP', 'Manaus/AM', 'Apore/GO']]",doi_collectionSite
"['10.1590/S0103-50532005000400005', 'Peruibe/SP']","['10.1590/S0103-50532005000400005', ['Ribeirao Preto/SP, Nigrospora sphaerica', 'Rio Claro/SP', 'Maues/AM', 'Lavras/MG', 'Igarape-acu/PA', 'Sao Sebastiao Do Passe/BA', 'Cordeiropolis/SP', 'N/A/CE', 'Cunha/SP', 'Rio Verde/GO', 'Vicosa/MG', 'N/A/SP, Cedrela fissilis', 'Chapada Dos Guimaraes/MT', 'Rio De Janeiro/RJ', 'Pirenopolis/GO', 'Goiania/GO', 'Urucuca/BA', 'Itacoatiara/AM', 'N/A/AM', 'Corumba/MS', 'Rifaina/SP', 'Piracicaba/SP', 'Santarem/PA', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Sao Miguel Arcanjo/SP', 'N/A/MG', 'Peruibe/SP', 'N/A/MS', 'Iguape/SP', 'Sao Carlos/SP', 'Itaituba/PA', 'Londrina/PR', 'N/A/PE', 'Pocos De Caldas/MG', 'Ribeirao Preto/SP', 'N/A/SP', 'Cuiaba/MT', 'Murici/AL', 'Apore/GO', 'Sao Paulo/SP', 'Ibirama/SC', 'Belem/PA', 'Recife/PE', 'Araraquara/SP', 'Teodoro Sampaio/SP', 'Mogi Guacu/SP', 'Itirapina/SP', 'Ibate/SP', 'N/A/ES', 'Campinas/SP', 'Manaus/AM']]",doi_collectionSite
"['10.1021/np030530j', 'Sao Paulo/SP']","['10.1021/np030530j', ['Ribeirao Preto/SP, Nigrospora sphaerica', 'Rio Claro/SP', 'Maues/AM', 'Lavras/MG', 'Igarape-acu/PA', 'Cordeiropolis/SP', 'Sao Sebastiao Do Passe/BA', 'N/A/CE', 'Cunha/SP', 'Rio Verde/GO', 'Chapada Dos Guimaraes/MT', 'Vicosa/MG', 'Rio De Janeiro/RJ', 'Goiania/GO', 'N/A/MG', 'Corumba/MS', 'N/A/SP, Cedrela fissilis', 'Rifaina/SP', 'Pirenopolis/GO', 'Piracicaba/SP', 'Urucuca/BA', 'Itaituba/PA', 'Santarem/PA', 'N/A/SP', 'Itacoatiara/AM', 'Peruibe/SP', 'Murici/AL', 'N/A/AM', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Sao Miguel Arcanjo/SP', 'Londrina/PR', 'Apore/GO', 'Sao Carlos/SP', 'N/A/MS', 'Ibirama/SC', 'Sao Paulo/SP', 'Cuiaba/MT', 'Pocos De Caldas/MG', 'Recife/PE', 'Iguape/SP', 'Araraquara/SP', 'Ribeirao Preto/SP', 'N/A/PE', 'Teodoro Sampaio/SP', 'Ibate/SP', 'Campinas/SP', 'N/A/ES', 'Manaus/AM', 'Itirapina/SP', 'Mogi Guacu/SP', 'Belem/PA']]",doi_collectionSite
